iter	Passed	Remaining
0	222	88621
1	301	59928
2	375	49688
3	445	44100
4	615	48630
5	801	52649
6	968	54366
7	1161	56906
8	1379	59944
9	1577	61536
10	1762	62329
11	1938	62669
12	2117	63046
13	2295	63290
14	2466	63294
15	2639	63357
16	2819	63524
17	2997	63611
18	3178	63743
19	3367	63982
20	3545	63990
21	3720	63924
22	3894	63830
23	4071	63782
24	4253	63798
25	4428	63695
26	4626	63918
27	4802	63809
28	4976	63666
29	5159	63632
30	5335	63507
31	5527	63563
32	5712	63528
33	5980	64373
34	6176	64411
35	6355	64256
36	6531	64081
37	6785	64636
38	7000	64796
39	7174	64573
40	7355	64407
41	7536	64241
42	7732	64197
43	7904	63956
44	8094	63855
45	8269	63638
46	8449	63463
47	8631	63300
48	8805	63078
49	8974	62820
50	9147	62596
51	9319	62370
52	9498	62190
53	9647	61813
54	9826	61637
55	10007	61474
56	10185	61288
57	10360	61091
58	10529	60858
59	10713	60711
60	10852	60309
61	11026	60110
62	11196	59894
63	11373	59709
64	11558	59569
65	11739	59407
66	11917	59232
67	12089	59027
68	12268	58853
69	12444	58667
70	12611	58437
71	12799	58307
72	12976	58127
73	13162	57986
74	13343	57823
75	13527	57670
76	13698	57461
77	13866	57243
78	14041	57056
79	14212	56850
80	14389	56669
81	14461	56080
82	14637	55906
83	14816	55736
84	14978	55507
85	15025	54860
86	15174	54591
87	15342	54396
88	15516	54219
89	15684	54022
90	15856	53843
91	16048	53725
92	16128	53240
93	16284	53010
94	16467	52867
95	16643	52704
96	16753	52331
97	16848	51920
98	17019	51747
99	17193	51579
100	17369	51420
101	17543	51253
102	17612	50785
103	17778	50599
104	17940	50404
105	18124	50270
106	18297	50103
107	18364	49651
